Sysno,ZpZveřejnění,AutořiVšichni,AutořiAV,AutořiVšichniPočet,AutořiRIV,AutořiAVPočet,AutořiKorespondující,BiblCit,BiblCitZdrD,ISBN_ISSN,ISBN_ISSN_ZdrDok,ZeměZveřejnění,Jazyk,PočStran,ImpFaktor,ProjektyCEP,ProjektyOst,VýzZáměr,OrigNázev,PřekladNázvu,KlíčSlova,AnotaceOrig,AnotaceEng,AnotaceCz,KódOborRIV,Pozn,PoznProZprac,Konference,VlastníkZáznamu,VlastníkZáznamuCZ,VlastníkZáznamuANJ,OdevzdáníDoRIV,RokVydání,RokSběru,PočetCitací,DOI,UT WOS,UT SCOPUS,HANDLE,RVO,PlnýText,Int.kód,TechnickéParametry,EkonomickéParametry,NázevVlastníka,ČísloPředpisu,ČísloPatentovéhoSpisu,VlastníkPatentu,DatumUděleníPatentu,KódVydavatelePatentu,Poddruh
"0458659","G","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Software for computer control : proceedings of the second IFAC/IFIP Symposium on Software for Computer Control New York: Pergamon Press, 1979. 420 s. ISBN 0080244483.","","0080244483","","US","eng","420","","","","","Software for computer control : proceedings of the second IFAC/IFIP Symposium on Software for Computer Control","","","","","","","","","SOCOCO'79. IFIP/IFAC Symposium /2./. New York (USA), 11.07.1979-15.07.1979","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1979","2017","","","","","http://hdl.handle.net/11104/0258903","","","","","","","","","","","",""
"0458652","B","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Analýza lineárních obvodů Praha: SNTL, 1973. 380 s.\\n http://aleph.nkp.cz/F/?func=direct&doc_number=001439066&local_base=SKC","","","","CS1","cze","380","","","","","Analýza lineárních obvodů","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1973","","","","","","http://hdl.handle.net/11104/0258897","","","","","","","","","","","",""
"0458633","B","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Metody moderní matematiky Praha: ČVUT, 1986. 118 s.\\nhttp://aleph.nkp.cz/F/?func=direct&doc_number=000031109&local_base=NKC","","","","CS1","cze","118","","","","","Metody moderní matematiky","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1986","","","","","","http://hdl.handle.net/11104/0258881","","","","","","","","","","","",""
"0458632","B","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Základy teorie mikroelektronických obvodů a soustav Praha: ČVUT, 1973. 141 s.\\nhttp://aleph.nkp.cz/F/?func=direct&doc_number=000455842&local_base=NKC","","","","CS1","cze","141","","","","","Základy teorie mikroelektronických obvodů a soustav","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1973","","","","","","http://hdl.handle.net/11104/0258880","","","","","","","","","","","",""
"0458631","B","Novák, Mirko - Marčan, K. - Kvasil, J.","Novák, Mirko","3","3","1","","Novák, Mirko; Marčan, K.; Kvasil, J. Cvičení z theoretické a experimentální sdělovací elektrotechniky. Učební texty vys. škol Praha: SNTL, 1955. 319 s.\\nhttp://aleph.nkp.cz/F/?func=direct&doc_number=000679672&local_base=NKC","","","","","cze","319","","","","","Cvičení z theoretické a experimentální sdělovací elektrotechniky. Učební texty vys. škol","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1955","","","","","","http://hdl.handle.net/11104/0258879","","","","","","","","","","","",""
"0458620","B","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Atlas elektrických filtrů 3. stupně : pasivní filtry se 3mi reaktancemi Praha: ÚRE, 1965. 379 s. Práce ÚRE, 33.\\nhttp://aleph.lib.cas.cz/F/?func=direct&doc_number=001066307&local_base=AV","","","","CS1","cze","379","","","","","Atlas elektrických filtrů 3. stupně : pasivní filtry se 3mi reaktancemi","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1965","","","","","","http://hdl.handle.net/11104/0258874","","","","","","","","","","","",""
"0454002","C","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Optimization of Dynamic Ratio by Active RC Filters. In ISCAS’74. Proceedings 1974 IEEE International Symposium on Circuits and Systems New York: IEEE, 1974, s. 636-639. [ISCAS’74. IEEE International Symposium on Circuits and Systems /7./, San Francisco, 22.04.1974-25.04.1974, US].","In ISCAS’74. Proceedings 1974 IEEE International Symposium on Circuits and Systems. New York: IEEE, 1974, s. 636-639","","","US","eng","","","","","","Optimization of Dynamic Ratio by Active RC Filters","","","","","","","","evidováno podle SCOPUS, sborník má asi UFE sign. C.2728/74","ISCAS’74. IEEE International Symposium on Circuits and Systems /7./. San Francisco (US), 22.04.1974-25.04.1974","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1974","2016","","","","2-s2.0-0015992176","http://hdl.handle.net/11104/0254717","","","","","","","","","","","",""
"0453411","J","Hrubý, J. - Komínek, Zdeněk - Novák, Mirko - Fritzsche, G. - Jentschel, H.J.","Komínek, Zdeněk - Novák, Mirko","5","5","2","","Hrubý, J.; Komínek, Zdeněk; Novák, Mirko; Fritzsche, G.; Jentschel, H.J. Approximation und realisierung aktiver kaskadenfilter mit minimal polguete. Nachrichtentechnik, Elektronik 1975, roč. 25, č. 5, s. 197-200.","Nachrichtentechnik, Elektronik. 1975, roč. 25, č. 5, s. 197-200","","","","ger","","","","","","Approximation und realisierung aktiver kaskadenfilter mit minimal polguete","Approximation and Realization of Active Cascade Filters with Minimum Pole Quality","","","","","","","mozna ISSN jsou: 0092-668x/0323-4657 *** pozor na duplicitu s 0400482","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1975","","","","","2-s2.0-0016459150","http://hdl.handle.net/11104/0254216","","","","","","","","","","","",""
"0453409","C","Komínek, Zdeněk - Novák, Mirko","Komínek, Zdeněk - Novák, Mirko","2","2","2","","Komínek, Zdeněk; Novák, Mirko. Computer-Aided Synthesis of Tolerances. In Proceedings of the Fifth Summer Symposium on Circuit Theory. Main Lectures Prague: ÚRE ČSAV, 1977, s. 129-141. [SSCT'77, Kladno, 05.09.1977-09.09.1977, CS].","In Proceedings of the Fifth Summer Symposium on Circuit Theory. Main Lectures. Prague: ÚRE ČSAV, 1977, s. 129-141","","","CS1","eng","","","","","","Computer-Aided Synthesis of Tolerances","","","","","","","","","SSCT'77. Kladno (CS), 05.09.1977-09.09.1977","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1977","","","","","","http://hdl.handle.net/11104/0254214","","","","","","","","","","","",""
"0453408","C","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Noncascade Active Filter Structures. In Proceedings of the Fifth Summer Symposium on Circuit Theory. Main Lectures Prague: ÚRE ČSAV, 1977, s. 94-112. [SSCT'77, Kladno, 05.09.1977-09.09.1977, CS].","In Proceedings of the Fifth Summer Symposium on Circuit Theory. Main Lectures. Prague: ÚRE ČSAV, 1977, s. 94-112","","","CS1","eng","","","","","","Noncascade Active Filter Structures","","","","","","","","","SSCT'77. Kladno (CS), 05.09.1977-09.09.1977","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1977","","","","","","http://hdl.handle.net/11104/0254213","","","","","","","","","","","",""
