Sysno,ZpZveřejnění,AutořiVšichni,AutořiAV,AutořiVšichniPočet,AutořiRIV,AutořiAVPočet,AutořiKorespondující,BiblCit,BiblCitZdrD,ISBN_ISSN,ISBN_ISSN_ZdrDok,ZeměZveřejnění,Jazyk,PočStran,ImpFaktor,ProjektyCEP,ProjektyOst,VýzZáměr,OrigNázev,PřekladNázvu,KlíčSlova,AnotaceOrig,AnotaceEng,AnotaceCz,KódOborRIV,Pozn,PoznProZprac,Konference,VlastníkZáznamu,VlastníkZáznamuCZ,VlastníkZáznamuANJ,OdevzdáníDoRIV,RokVydání,RokSběru,PočetCitací,DOI,UT WOS,UT SCOPUS,HANDLE,RVO,PlnýText,Int.kód,TechnickéParametry,EkonomickéParametry,NázevVlastníka,ČísloPředpisu,ČísloPatentovéhoSpisu,VlastníkPatentu,DatumUděleníPatentu,KódVydavatelePatentu,Poddruh
"0458671","J","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Spolehlivost a predikční diagnostika technických systémů. Automatizace 1999, roč. 42, č. 4, s. 250-255. ISSN 0005-125X.","Automatizace. 1999, roč. 42, č. 4, s. 250-255","","0005-125X","CS1","cze","","","","","","Spolehlivost a predikční diagnostika technických systémů","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1999","","","","","","http://hdl.handle.net/11104/0258912","","","","","","","","","","","",""
"0458663","J","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko. Neuronové sítě včera, dnes a zítra. Computerworld 1995, roč. 6, č. 41, s. 21-24, s. 33-36. ISSN 0010-4841.","Computerworld. 1995, roč. 6, č. 41, s. 21-24, s. 33-36","","0010-4841","CZ","cze","","","","","","Neuronové sítě včera, dnes a zítra","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1995","2017","","","","","http://hdl.handle.net/11104/0258907","","","","","","","","","","","",""
"0458497","J","Riečan, B.","","1","1","0","","Riečan, B. Miroslav Fiedler jubilujúci. Obzory matematiky, fyziky a informatiky 1997, roč. 26, č. 47, s. 64. ISSN 1335-4981.","Obzory matematiky, fyziky a informatiky. 1997, roč. 26, č. 47, s. 64","","1335-4981","SK","slo","","","","","","Miroslav Fiedler jubilujúci","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1997","2017","","","","","http://hdl.handle.net/11104/0258764","","1","","","","","","","","","",""
"0458377","J","Přibyl, P. - Palla, J. - Novák, Mirko","Novák, Mirko","3","3","1","","Přibyl, P.; Palla, J.; Novák, Mirko. The possibilities of road telematics implementation in the Czech Republic.  Promet 1999, roč. 11, Suppl. 4, s. 41-47. ISSN 0353-5320."," Promet. 1999, roč. 11, Suppl. 4, s. 41-47","","0353-5320","HR","eng","","","","","","The possibilities of road telematics implementation in the Czech Republic","","","","","","","","ve wos tez jako 000090024400007, kopii nemam","TTC-ITSI '99. Traffic in Transitional Conditions. Intelligent Transport Systems and Their Interfaces. Dubrovnik, 19.10.1999-21.10.1999","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1999","2017","","","wos:000084480900007","","http://hdl.handle.net/11104/0258887","","","","","","","","","","","",""
"0453372","G","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Proceedings of PASE'97 Neural Network World Ústav informatiky AV ČR, v. v. i. roč. 7, Special issue 4-5 (1997), s. 361-630. ISSN 1210-0552.","Neural Network World. Ústav informatiky AV ČR, v. v. i. roč. 7, Special issue 4-5 (1997), s. 361-630","","1210-0552","CZ","","","","","","","Proceedings of PASE'97","","","","","","","","","PASE'97. International Workshop on Parallel Applications in Statistics and Economics /6./. Mariánské Lázně (CZ), 09.11.1997-12.11.1997","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1997","2016","","","","","http://hdl.handle.net/11104/0254204","","","","","","","","","","","",""
"0453371","G","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Proceedings of PASE'95 Neural Network World Ústav informatiky AV ČR, v. v. i. roč. 5, Special issue 4 (1995), s. 361-648. ISSN 1210-0552.","Neural Network World. Ústav informatiky AV ČR, v. v. i. roč. 5, Special issue 4 (1995), s. 361-648","","1210-0552","CZ","","","","","","","Proceedings of PASE'95","","","","","","","","","PASE'95. Trier-Mainz (DE), 29.08.1995-02.09.1995","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1995","2016","","","","","http://hdl.handle.net/11104/0254203","","","","","","","","","","","",""
"0453370","G","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Proceedings of PASE'93 Neural Network World Ústav informatiky AV ČR, v. v. i. roč. 3, Special issue 6 (1993), s. 597-960. ISSN 1210-0552.","Neural Network World. Ústav informatiky AV ČR, v. v. i. roč. 3, Special issue 6 (1993), s. 597-960","","1210-0552","CZ","","","","","","","Proceedings of PASE'93","","","","","","","","","PASE'93. Locarno (CH), 22.11.1993-26.11.1993","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1993","2016","","","","","http://hdl.handle.net/11104/0254202","","","","","","","","","","","",""
"0453369","G","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Proceedings of PASE'92 Neural Network World Ústav informatiky AV ČR, v. v. i. roč. 2, č. 6 (1992), s. 541-874. ISSN 1210-0552.","Neural Network World. Ústav informatiky AV ČR, v. v. i. roč. 2, č. 6 (1992), s. 541-874","","1210-0552","CZ","","","","","","","Proceedings of PASE'92","","","","","","","","","PASE'92. Prague (CS), 07.12.1992-08.12.1992","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1992","2016","","","","","http://hdl.handle.net/11104/0254201","","","","","","","","","","","",""
"0453368","G","Novák, Mirko","Novák, Mirko","1","1","1","","Novák, Mirko (ed.). Proceedings of NEURO-WORKSHOP'95 Neural Network World Ústav informatiky AV ČR, v. v. i. roč. 5, Special issue 6 (1995), s. 649-847. ISSN 1210-0552.","Neural Network World. Ústav informatiky AV ČR, v. v. i. roč. 5, Special issue 6 (1995), s. 649-847","","1210-0552","CZ","","","","","","","Proceedings of NEURO-WORKSHOP'95","","","","","","","","","NEURO-WORKSHOP'95. Brno (CZ), 09.10.1995-11.10.1995","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1995","2016","","","","","http://hdl.handle.net/11104/0254200","","","","","","","","","","","",""
"0453366","G","Novák, Mirko - Kartalopoulos, S.","Novák, Mirko","2","2","1","","Novák, Mirko (ed.); Kartalopoulos, S. Proceedings of Neurofuzzy’96 IEEE European Workshop Neural Network World Ústav informatiky AV ČR, v. v. i. roč. 6, Special issue 2-4 (1996), s. 121-733. ISSN 1210-0552.\\nhttp://aleph.lib.cas.cz/F/?func=direct&doc_number=000128416&local_base=AV","Neural Network World. Ústav informatiky AV ČR, v. v. i. roč. 6, Special issue 2-4 (1996), s. 121-733","","1210-0552","CZ","eng","","","","","","Proceedings of Neurofuzzy’96 IEEE European Workshop","","","","","","","","","Neurofuzzy'96. Prague (CZ), 16.04.1996-18.04.1996","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","1996","2016","","","","","http://hdl.handle.net/11104/0254199","","","","","","","","","","","",""
